User,Date,Id,IcecreamId
patsy,2020-07-13 18:18:15,92FD2855-C015-3DA7-5BC7-71938F8A4565,4
patsy,2020-08-21 22:31:33,E8BD5B46-8138-6B27-44F9-670791077567,9
Anna,2020-09-25 21:54:51,DE0D32BC-14BA-7ED6-5E6A-BFE723F2E847,9
lance.topper,2020-08-25 11:09:19,42023781-DB7D-D769-B9BB-8A290966BF91,10
robert,2020-05-11 12:04:08,6BEEFCAA-4EBE-6929-F52D-488B64E5187C,5
Lara,2020-08-08 10:11:55,34000794-5C99-5AE1-F456-A81A4F518525,5
lance.topper,2020-07-02 20:10:36,B16403C5-3973-7439-7B36-1FBE53876E78,2
Anna,2020-04-17 08:19:09,955B328C-66DC-65F3-E189-9FD95A2B12D2,2
mdoe,2020-12-01 19:22:13,028612A5-E27F-5BF6-EDF6-6BEBE26DEF09,6
msimpson,2020-05-14 17:59:27,384C40FA-5D4A-7E54-765E-6E9D2E31CB7F,8
nicktrog,2020-12-15 11:40:25,36489B56-C1EA-8B83-7967-189FACA363B2,9
Lara,2020-06-14 22:23:46,B57D792D-E3E4-76BB-D67F-38F98A68783F,7
mdoe,2020-06-14 23:05:28,E593C73A-AFF4-4FD5-674D-B11F07E97B15,5
Anna,2020-12-14 23:27:37,6C6176F9-418B-9DE6-9977-CD6D1E9BFBFE,2
Lara,2020-03-25 14:42:00,62DC15AF-9309-4EE2-E857-8CA3BA74D2D4,5
Anna,2020-06-11 01:49:12,E939FE19-4A77-938F-832C-3D2FCAE00ABB,6
patsy,2020-08-23 16:08:25,EC7D1E54-7D05-BBC9-80A0-B2F7F46C7936,5
Anna,2020-05-13 10:34:03,0184B6F2-BF7D-2D2A-B15A-D53341CFA487,3
prider,2020-07-14 22:20:36,9D4E085F-A015-0F0A-4BC6-F4B0232299D1,4
msimpson,2020-07-18 13:10:24,0CB383D6-6B62-8B9D-16D4-128A10AE82D6,8
Anna,2020-09-30 06:47:56,5D072109-E4E9-4D45-8096-85C3EFBEB90A,1
Jess,2020-09-28 17:16:29,93534AF7-E76E-4EDE-1CED-3C733E57F3C7,2
Anna,2020-09-19 13:44:22,81F846C8-E4E5-34BB-4EA5-E839032763C8,3
Anna,2020-11-23 18:23:23,659C835F-381E-E60C-2780-5E30147C0FAE,7
mdoe,2020-06-17 21:32:09,D6F41658-9EA4-F15B-64E0-6698FDDA292C,5
butters,2020-12-12 04:25:19,5BC4CB38-322A-477E-C79E-B982CE439A38,3
saraht,2020-12-23 20:42:50,9E86488D-65CA-6462-416F-DBAA3C106941,8
prider,2020-12-23 04:13:24,35744CEA-3B82-8079-8B5A-D3209F88BB2E,8
patsy,2020-05-19 11:18:17,8814981C-BD97-1267-121F-B2CA529E42C6,3
lance.topper,2020-08-05 18:07:03,8ED31573-28D9-ACE2-4E2E-3758D5567E4F,10
nicktrog,2020-12-18 07:20:28,0B842E7A-B094-FBE7-EF89-8B34C926EE7C,8
msimpson,2020-03-08 19:59:15,63855C2A-B7EB-B26B-D1F4-F72B6528ABCC,7
john,2020-03-06 23:59:05,38E1FB62-1446-B1F0-E396-5FCF96303597,5
butters,2020-07-16 23:17:46,8619D68E-E40B-60E8-2871-126E9CDDD6FD,7
msimpson,2020-04-30 00:41:51,FACD69B2-E4D6-34AE-C635-0F016AF4A72D,5
Lara,2020-04-15 11:23:20,86AADE60-E669-8BA4-022D-52890E9E00BE,9
Anna,2020-07-09 20:32:08,960E20CB-6094-0D78-7AC1-340DE035F705,10
robert,2020-12-18 12:12:19,B83BAD50-7048-DC2A-22B9-3AA928143EA5,5
Lara,2020-09-08 11:01:15,88EDA2E3-3089-4319-03ED-C35D6B111459,3
john,2020-06-27 14:02:27,2A76992E-D49F-15ED-128E-71218890B7BE,5
John Doe,2020-02-13 07:06:42,B3C5CBD4-F2C5-1DE4-E343-0A05E0E8DD68,10
Jess,2020-06-28 03:12:04,81BF9CC1-AEAA-2C93-3F44-F880F8CBEAF3,6
mdoe,2020-10-16 03:16:35,FD172090-1D9A-98C7-C2AD-8E9717C80A57,9
prider,2020-04-22 21:54:20,9174F439-19A4-1B15-285A-AF14E40EEC53,10
msimpson,2020-03-09 05:35:13,5E0B6A63-37C9-3951-3FC9-2FC719CFC9BC,4
robert,2020-10-03 19:41:21,F070EBD6-BDE4-6F3B-2276-E1A1C5B31C10,1
msimpson,2020-01-23 17:43:04,B8788612-EF06-4341-D005-1DD8D12081E3,4
John Doe,2020-10-01 15:26:50,7BB522F8-4BD8-F9D4-0B0D-27DDC329727D,10
